MeterNo,IsSuccessful,CompletedOn
CRYT3152882,True,2025-21-04 14:21:24,
CRYT3160097,True,2025-21-04 14:21:26,
CRYT3069969,True,2025-21-04 14:21:24,
CRYT3157466,True,2025-21-04 14:21:24,
CRYT3150047,True,2025-21-04 14:21:24,
CRYT3153953,True,2025-21-04 14:21:25,
CRYT3339173,True,2025-21-04 14:21:25,
CRYT3039114,True,2025-21-04 14:21:26,
CRYT3158319,True,2025-21-04 14:21:32,
CRYT3163536,True,2025-21-04 14:21:27,
CRYT3150208,True,2025-22-04 14:22:22,
CRYT3016236,False,2025-22-04 14:22:25,Id_214 CRYT3016236 Could not open tcp connection
CRYT3039443,True,2025-21-04 14:21:26,
CRYT3026827,True,2025-21-04 14:21:27,
CRYT3019564,False,2025-22-04 14:22:25,Id_217 CRYT3019564 Could not open tcp connection
CRYT3156701,True,2025-21-04 14:21:27,
CRYT3157300,True,2025-21-04 14:21:29,
CRYT3156997,True,2025-21-04 14:21:28,
CRYT3151545,True,2025-21-04 14:21:28,
CRYT3159413,True,2025-21-04 14:21:28,
CRYT3074612,False,2025-22-04 14:22:27,Id_223 CRYT3074612 Could not open tcp connection
CRYT3155380,True,2025-21-04 14:21:29,
CRYT3037398,True,2025-21-04 14:21:29,
CRYT3069925,True,2025-21-04 14:21:36,
CRYT3069217,False,2025-22-04 14:22:28,Id_227 CRYT3069217 Could not open tcp connection
CRYT3032087,True,2025-21-04 14:21:38,
CRYT3072244,True,2025-21-04 14:21:30,
CRYT3029195,True,2025-21-04 14:21:31,
CRYT3153773,True,2025-21-04 14:21:31,
CRYT3345536,True,2025-21-04 14:21:31,
CRYT3041637,True,2025-21-04 14:21:32,
CRYT3164808,True,2025-21-04 14:21:32,
CRYT3026806,True,2025-21-04 14:21:33,
CRYT3027330,False,2025-22-04 14:22:31,Id_236 CRYT3027330 Could not open tcp connection
CRYT3150882,True,2025-21-04 14:21:33,
CRYT3028691,True,2025-21-04 14:21:33,
CRYT3066339,True,2025-21-04 14:21:34,
CRYT3065988,True,2025-21-04 14:21:34,
CRYT3070255,True,2025-21-04 14:21:34,
CRYT3069235,True,2025-21-04 14:21:35,
CRYT3387329,True,2025-21-04 14:21:34,
CRYT3038907,True,2025-21-04 14:21:36,
CRYT3152231,True,2025-21-04 14:21:34,
CRYT3155009,True,2025-21-04 14:21:35,
CRYT3026053,True,2025-21-04 14:21:35,
CRYT3038680,True,2025-21-04 14:21:36,
CRYT3074064,True,2025-21-04 14:21:35,
CRYT3040830,True,2025-21-04 14:21:39,
CRYT3071240,True,2025-21-04 14:21:37,
CRYT3071362,True,2025-21-04 14:21:36,
CRYT3159363,True,2025-21-04 14:21:36,
CRYT3153483,True,2025-21-04 14:21:37,
CRYT3015576,True,2025-21-04 14:21:36,
CRYT3157079,True,2025-21-04 14:21:37,
CRYT3163331,True,2025-21-04 14:21:38,
CRYT3150734,True,2025-21-04 14:21:38,
CRYT3156304,True,2025-21-04 14:21:37,
CRYT3016379,False,2025-22-04 14:22:35,Id_260 CRYT3016379 Could not open tcp connection
CRYT3041346,True,2025-21-04 14:21:45,
CRYT3016448,True,2025-21-04 14:21:37,
CRYT3066117,True,2025-21-04 14:21:38,
CRYT3069081,False,2025-22-04 14:22:36,Id_264 CRYT3069081 Could not open tcp connection
CRYT3027872,False,2025-22-04 14:22:36,Id_265 CRYT3027872 Could not open tcp connection
CRYT3030197,True,2025-21-04 14:21:39,
CRYT3029876,True,2025-21-04 14:21:38,
CRYT3016382,False,2025-22-04 14:22:36,Id_268 CRYT3016382 Could not open tcp connection
CRYT3151042,True,2025-21-04 14:21:39,
CRYT3035895,True,2025-21-04 14:21:46,
CRYT3015501,True,2025-21-04 14:21:39,
CRYT3025105,True,2025-21-04 14:21:39,
CRYT3016164,False,2025-22-04 14:22:37,Id_273 CRYT3016164 Could not open tcp connection
