Meter No.,IP ,Keys 
CRYT3015501,2405:0203:c3f4:50BA:0000:0000:0000:0010,123
CRYT3025105,2405:0203:c3f4:3BE6:0000:0000:0000:0010,123
CRYT3016164,2405:0203:c3f4:3DB6:0000:0000:0000:0010,123
CRYT3039184,2405:0203:c3f4:6655:0000:0000:0000:0010,123
CRYT3067598,2405:0203:c3f4:D364:0000:0000:0000:0010,123
CRYT3071459,2405:0203:c3f4:CB3F:0000:0000:0000:0010,123
CRYT3033622,2405:0203:c3f4:ABB0:0000:0000:0000:0010,123
CRYT3159733,2405:0203:c3f9:B79F:0000:0000:0000:0010,123
CRYT3151592,2405:0203:c3f9:98AE:0000:0000:0000:0010,123
CRYT3156792,2405:0203:c3f9:B63F:0000:0000:0000:0010,123
CRYT3154415,2405:0203:c3f9:A777:0000:0000:0000:0010,123
CRYT3151576,2405:0203:c3f9:98C2:0000:0000:0000:0010,123
CRYT3033611,2405:0203:c3f4:AB9E:0000:0000:0000:0010,123
CRYT3032854,2405:0203:c3f4:A418:0000:0000:0000:0010,123
CRYT3067059,2405:0203:c3f4:C92C:0000:0000:0000:0010,123
CRYT3065251,2405:0203:c3f4:7EE8:0000:0000:0000:0010,123
CRYT3069661,2405:0203:c3f4:C194:0000:0000:0000:0010,123
CRYT3153147,2405:0203:c3f9:A29E:0000:0000:0000:0010,123
CRYT3158431,2405:0203:c3f9:AB7F:0000:0000:0000:0010,123
CRYT3158136,2405:0203:c3f9:B819:0000:0000:0000:0010,123
CRYT3074960,2405:0203:c3f9:8958:0000:0000:0000:0010,123
CRYT3151798,2405:0203:c3f9:C219:0000:0000:0000:0010,123
CRYT3320681,2405:0203:c3e0:2B4C:0000:0000:0000:0010,123
CRYT3025852,2405:0203:c3f4:4103:0000:0000:0000:0010,123
CRYT3025834,2405:0203:c3f4:40FA:0000:0000:0000:0010,123
CRYT3071662,2405:0203:c3f4:89FF:0000:0000:0000:0010,123
CRYT3382401,2405:0203:c3e0:8744:0000:0000:0000:0010,123
CRYT3155221,2405:0203:c3f4:EE20:0000:0000:0000:0010,123
CRYT3157287,2405:0203:c3f4:F218:0000:0000:0000:0010,123
CRYT3160558,2405:0203:c3f9:9A8F:0000:0000:0000:0010,123
CRYT3159282,2405:0203:c3f4:EA60:0000:0000:0000:0010,123
CRYT3026017,2405:0203:c3f4:40FB:0000:0000:0000:0010,123
CRYT3025220,2405:0203:c3f4:427D:0000:0000:0000:0010,123
CRYT3035519,2405:0203:c3f4:7D62:0000:0000:0000:0010,123
CRYT3019720,2405:0203:c3f4:840D:0000:0000:0000:0010,123
CRYT3040650,2405:0203:c3f4:BF49:0000:0000:0000:0010,123
CRYT3071073,2405:0203:c3f4:C650:0000:0000:0000:0010,123
CRYT3071786,2405:0203:c3f4:8CC5:0000:0000:0000:0010,123
CRYT3039145,2405:0203:c3f4:6DCA:0000:0000:0000:0010,123
CRYT3071897,2405:0203:c3f4:8A1D:0000:0000:0000:0010,123
CRYT3025226,2405:0203:c3f4:3D2D:0000:0000:0000:0010,123
CRYT3018317,2405:0203:c3f4:7694:0000:0000:0000:0010,123
CRYT3025640,2405:0203:c3f4:403C:0000:0000:0000:0010,123
CRYT3017828,2405:0203:c3f4:560E:0000:0000:0000:0010,123
CRYT3038939,2405:0203:c3f4:62D2:0000:0000:0000:0010,123
CRYT3033027,2405:0203:c3f4:ABE2:0000:0000:0000:0010,123
CRYT3065538,2405:0203:c3f4:62DE:0000:0000:0000:0010,123
CRYT3072414,2405:0203:c3f4:8C39:0000:0000:0000:0010,123
CRYT3034569,2405:0203:c3f4:9D4C:0000:0000:0000:0010,123
CRYT3026477,2405:0203:c3f4:3CF4:0000:0000:0000:0010,123
CRYT3037263,2405:0203:c3f4:6FE1:0000:0000:0000:0010,123
CRYT3029506,2405:0203:c3f4:5CB0:0000:0000:0000:0010,123
CRYT3039580,2405:0203:c3f4:67D1:0000:0000:0000:0010,123
CRYT3034760,2405:0203:c3f4:9C11:0000:0000:0000:0010,123
CRYT3153042,2405:0203:c3f4:F17E:0000:0000:0000:0010,123
CRYT3028172,2405:0203:c3f4:554E:0000:0000:0000:0010,123
CRYT3065407,2405:0203:c3f4:7A15:0000:0000:0000:0010,123
CRYT3065301,2405:0203:c3f4:7EBE:0000:0000:0000:0010,123
CRYT3073156,2405:0203:c3f4:CD56:0000:0000:0000:0010,123
CRYT3160605,2405:0203:c3f4:F641:0000:0000:0000:0010,123
CRYT3159649,2405:0203:c3f9:BA4C:0000:0000:0000:0010,123
CRYT3151268,2405:0203:c3f9:9925:0000:0000:0000:0010,123
CRYT3164991,2405:0203:c3f9:BB88:0000:0000:0000:0010,123
CRYT3150583,2405:0203:c3f9:65FB:0000:0000:0000:0010,123
CRYT3161587,2405:0203:c3f9:A6AB:0000:0000:0000:0010,123
CRYT3027509,2405:0203:c3f4:4B62:0000:0000:0000:0010,123
CRYT3017427,2405:0203:c3f4:52A6:0000:0000:0000:0010,123
CRYT3025091,2405:0203:c3f4:4139:0000:0000:0000:0010,123
CRYT3159103,2405:0203:c3f9:B4DE:0000:0000:0000:0010,123
CRYT3159391,2405:0203:c3f9:B427:0000:0000:0000:0010,123
CRYT3153697,2405:0203:c3f9:A064:0000:0000:0000:0010,123
CRYT3162566,2405:0203:c3f4:F3B6:0000:0000:0000:0010,123
CRYT3032710,2405:0203:c3f4:A21B:0000:0000:0000:0010,123
CRYT3037105,2405:0203:c3f4:724F:0000:0000:0000:0010,123
CRYT3067956,2405:0203:c3f4:D31A:0000:0000:0000:0010,123
CRYT3067901,2405:0203:c3f4:C882:0000:0000:0000:0010,123
CRYT3161530,2405:0203:c3f9:A60C:0000:0000:0000:0010,123
CRYT3159458,2405:0203:c3f9:B8C2:0000:0000:0000:0010,123
CRYT3151074,2405:0203:c3f9:BEC2:0000:0000:0000:0010,123
CRYT3151598,2405:0203:c3f9:9F1A:0000:0000:0000:0010,123
CRYT3153435,2405:0203:c3f9:A3DF:0000:0000:0000:0010,123
CRYT3160342,2405:0203:c3f4:F1A0:0000:0000:0000:0010,123
CRYT3160480,2405:0203:c3f9:9D61:0000:0000:0000:0010,123
CRYT3038272,2405:0203:c3f4:64CC:0000:0000:0000:0010,123
CRYT3026456,2405:0203:c3f4:48A9:0000:0000:0000:0010,123
CRYT3017923,2405:0203:c3f4:5D72:0000:0000:0000:0010,123
CRYT3030923,2405:0203:c3f4:C122:0000:0000:0000:0010,123
CRYT3025759,2405:0203:c3f4:4099:0000:0000:0000:0010,123
CRYT3015797,2405:0203:c3f4:6ABD:0000:0000:0000:0010,123
CRYT3027530,2405:0203:c3f4:4DED:0000:0000:0000:0010,123
CRYT3162126,2405:0203:c3f4:E5A7:0000:0000:0000:0010,123
CRYT3151246,2405:0203:c3f9:98D3:0000:0000:0000:0010,123
CRYT3151301,2405:0203:c3f9:BF17:0000:0000:0000:0010,123
CRYT3151127,2405:0203:c3f9:C005:0000:0000:0000:0010,123
CRYT3044111,2405:0203:c3f4:81B4:0000:0000:0000:0010,123
CRYT3065870,2405:0203:c3f4:64D9:0000:0000:0000:0010,123
CRYT3066950,2405:0203:c3f4:D23A:0000:0000:0000:0010,123
CRYT3068640,2405:0203:c3f4:CA0C:0000:0000:0000:0010,123
CRYT3029163,2405:0203:c3f4:5CC6:0000:0000:0000:0010,123
CRYT3032517,2405:0203:c3f4:B0C0:0000:0000:0000:0010,123
CRYT3150016,2405:0203:c3f9:5C6F:0000:0000:0000:0010,123
CRYT3031224,2405:0203:c3f4:BF39:0000:0000:0000:0010,123
CRYT3164100,2405:0203:c3f4:E16E:0000:0000:0000:0010,123
CRYT3066692,2405:0203:c3f4:6438:0000:0000:0000:0010,123
CRYT3033111,2405:0203:c3f4:A125:0000:0000:0000:0010,123
CRYT3070188,2405:0203:c3f4:8C51:0000:0000:0000:0010,123
CRYT3029691,2405:0203:c3f4:5033:0000:0000:0000:0010,123
CRYT3031522,2405:0203:c3f4:B263:0000:0000:0000:0010,123
CRYT3159402,2405:0203:c3f9:B536:0000:0000:0000:0010,123
CRYT3158666,2405:0203:c3f4:EC2B:0000:0000:0000:0010,123
CRYT3016729,2405:0203:c3f4:4468:0000:0000:0000:0010,123
CRYT3033545,2405:0203:c3f4:A1AD:0000:0000:0000:0010,123
CRYT3019719,2405:0203:c3f4:840C:0000:0000:0000:0010,123
CRYT3042326,2405:0203:c3f4:A3E3:0000:0000:0000:0010,123
CRYT3160023,2405:0203:c3f9:9A5B:0000:0000:0000:0010,123
CRYT3161502,2405:0203:c3f9:9D6F:0000:0000:0000:0010,123
CRYT3159938,2405:0203:c3f9:B56C:0000:0000:0000:0010,123
CRYT3019494,2405:0203:c3f4:6EA9:0000:0000:0000:0010,123
CRYT3030114,2405:0203:c3f4:C154:0000:0000:0000:0010,123
CRYT3018386,2405:0203:c3f4:771C:0000:0000:0000:0010,123
CRYT3040135,2405:0203:c3f4:70D6:0000:0000:0000:0010,123
CRYT3157364,2405:0203:c3f4:E948:0000:0000:0000:0010,123
CRYT3159675,2405:0203:c3f9:B79D:0000:0000:0000:0010,123
CRYT3161589,2405:0203:c3f9:A6C7:0000:0000:0000:0010,123
CRYT3066078,2405:0203:c3f4:97D9:0000:0000:0000:0010,123
CRYT3040723,2405:0203:c3f4:B732:0000:0000:0000:0010,123
CRYT3068998,2405:0203:c3f4:CEDF:0000:0000:0000:0010,123
CRYT3026326,2405:0203:c3f4:5F59:0000:0000:0000:0010,123
CRYT3073162,2405:0203:c3f4:CDC1:0000:0000:0000:0010,123
CRYT3074224,2405:0203:c3f9:6F0F:0000:0000:0000:0010,123
CRYT3026565,2405:0203:c3f4:497D:0000:0000:0000:0010,123
CRYT3019855,2405:0203:c3f4:84F8:0000:0000:0000:0010,123
CRYT3035290,2405:0203:c3f4:82AF:0000:0000:0000:0010,123
CRYT3065640,2405:0203:c3f4:741D:0000:0000:0000:0010,123
CRYT3037252,2405:0203:c3f4:6FA7:0000:0000:0000:0010,123
CRYT3030359,2405:0203:c3f4:B6C1:0000:0000:0000:0010,123
CRYT3161122,2405:0203:c3f4:F49A:0000:0000:0000:0010,123
CRYT3161335,2405:0203:c3f9:9D3E:0000:0000:0000:0010,123
CRYT3163254,2405:0203:c3f9:ADB1:0000:0000:0000:0010,123
CRYT3162936,2405:0203:c3f4:E788:0000:0000:0000:0010,123
CRYT3164494,2405:0203:c3f9:AB98:0000:0000:0000:0010,123
CRYT3152554,2405:0203:c3f9:A2E1:0000:0000:0000:0010,123
CRYT3160966,2405:0203:c3f4:F4A1:0000:0000:0000:0010,123
CRYT3163091,2405:0203:c3f9:B163:0000:0000:0000:0010,123
CRYT3151818,2405:0203:c3f9:C20D:0000:0000:0000:0010,123
CRYT3074886,2405:0203:c3f9:8945:0000:0000:0000:0010,123
CRYT3153771,2405:0203:c3f4:F07D:0000:0000:0000:0010,123
CRYT3314282,2405:0203:c3e0:255E:0000:0000:0000:0010,123
CRYT3345177,2405:0203:c3e0:C6F6:0000:0000:0000:0010,123
CRYT3027674,2405:0203:c3f4:4A60:0000:0000:0000:0010,123
CRYT3017583,2405:0203:c3f4:5978:0000:0000:0000:0010,123
CRYT3030277,2405:0203:c3f4:B70A:0000:0000:0000:0010,123
CRYT3041281,2405:0203:c3f4:A669:0000:0000:0000:0010,123
CRYT3068523,2405:0203:c3f4:D0AC:0000:0000:0000:0010,123
CRYT3318743,2405:0203:c3fa:340E:0000:0000:0000:0010,123
CRYT3065231,2405:0203:c3f4:7EE2:0000:0000:0000:0010,123
CRYT3069568,2405:0203:c3f4:C3DB:0000:0000:0000:0010,123
CRYT3070547,2405:0203:c3f4:CC09:0000:0000:0000:0010,123
CRYT3069149,2405:0203:c3f4:C412:0000:0000:0000:0010,123
CRYT3158786,2405:0203:c3f4:EAEA:0000:0000:0000:0010,123
CRYT3163202,2405:0203:c3f9:B180:0000:0000:0000:0010,123
CRYT3074633,2405:0203:c3f4:95BD:0000:0000:0000:0010,123
CRYT3159046,2405:0203:c3f9:B51D:0000:0000:0000:0010,123
CRYT3162920,2405:0203:c3f4:E4E5:0000:0000:0000:0010,123
CRYT3161067,2405:0203:c3f9:9C04:0000:0000:0000:0010,123
CRYT3153195,2405:0203:c3f9:A29D:0000:0000:0000:0010,123
CRYT3018644,2405:0203:c3f4:542E:0000:0000:0000:0010,123
CRYT3033707,2405:0203:c3f4:9E49:0000:0000:0000:0010,123
CRYT3027205,2405:0203:c3f4:4C90:0000:0000:0000:0010,123
CRYT3067843,2405:0203:c3f4:C7E6:0000:0000:0000:0010,123
CRYT3033713,2405:0203:c3f4:A868:0000:0000:0000:0010,123
CRYT3070068,2405:0203:c3f4:7F3F:0000:0000:0000:0010,123
CRYT3156732,2405:0203:c3f9:B5FD:0000:0000:0000:0010,123
CRYT3040280,2405:0203:c3f4:B993:0000:0000:0000:0010,123
CRYT3029357,2405:0203:c3f4:5E00:0000:0000:0000:0010,123
CRYT3159015,2405:0203:c3f9:B4AC:0000:0000:0000:0010,123
CRYT3159429,2405:0203:c3f9:B907:0000:0000:0000:0010,123
CRYT3157880,2405:0203:c3f9:B19E:0000:0000:0000:0010,123
CRYT3151982,2405:0203:c3f9:C208:0000:0000:0000:0010,123
CRYT3151044,2405:0203:c3f9:BEC5:0000:0000:0000:0010,123
CRYT3044872,2405:0203:c3f4:7258:0000:0000:0000:0010,123
CRYT3016375,2405:0203:c3f4:3E81:0000:0000:0000:0010,123
CRYT3073099,2405:0203:c3f4:CD31:0000:0000:0000:0010,123
CRYT3031462,2405:0203:c3f4:B1CE:0000:0000:0000:0010,123
CRYT3065284,2405:0203:c3f4:9711:0000:0000:0000:0010,123
CRYT3066722,2405:0203:c3f4:719C:0000:0000:0000:0010,123
CRYT3029648,2405:0203:c3f4:5D9C:0000:0000:0000:0010,123
CRYT3042843,2405:0203:c3f4:9EBA:0000:0000:0000:0010,123
CRYT3042178,2405:0203:c3f4:AD21:0000:0000:0000:0010,123
CRYT3036459,2405:0203:c3f4:7A34:0000:0000:0000:0010,123
CRYT3073139,2405:0203:c3f4:CDC4:0000:0000:0000:0010,123
CRYT3072013,2405:0203:c3f9:8C50:0000:0000:0000:0010,123
CRYT3032127,2405:0203:c3f4:A6F4:0000:0000:0000:0010,123
CRYT3028496,2405:0203:c3f4:58C1:0000:0000:0000:0010,123
CRYT3043532,2405:0203:c3f4:77E9:0000:0000:0000:0010,123
CRYT3044697,2405:0203:c3f4:686A:0000:0000:0000:0010,123
CRYT3164253,2405:0203:c3f4:E1DC:0000:0000:0000:0010,123
CRYT3074898,2405:0203:c3f9:8755:0000:0000:0000:0010,123
CRYT3163051,2405:0203:c3f9:AE83:0000:0000:0000:0010,123
CRYT3157259,2405:0203:c3f4:F348:0000:0000:0000:0010,123
CRYT3154288,2405:0203:c3f9:A5BB:0000:0000:0000:0010,123
CRYT3164408,2405:0203:c3f4:E278:0000:0000:0000:0010,123
CRYT3031639,2405:0203:c3f4:B275:0000:0000:0000:0010,123
CRYT3019043,2405:0203:c3f4:5805:0000:0000:0000:0010,123
CRYT3036628,2405:0203:c3f4:80ED:0000:0000:0000:0010,123
CRYT3043992,2405:0203:c3f4:6777:0000:0000:0000:0010,123
CRYT3028355,2405:0203:c3f4:5338:0000:0000:0000:0010,123
CRYT3068498,2405:0203:c3f4:D07B:0000:0000:0000:0010,123
CRYT3028281,2405:0203:c3f4:54B6:0000:0000:0000:0010,123
CRYT3043184,2405:0203:c3f4:93D2:0000:0000:0000:0010,123
CRYT3032620,2405:0203:c3f4:AFE1:0000:0000:0000:0010,123
CRYT3071043,2405:0203:c3f4:C626:0000:0000:0000:0010,123
CRYT3041229,2405:0203:c3f4:B572:0000:0000:0000:0010,123
CRYT3069040,2405:0203:c3f4:C388:0000:0000:0000:0010,123
CRYT3065780,2405:0203:c3f4:64C7:0000:0000:0000:0010,123
CRYT3066084,2405:0203:c3f4:97E7:0000:0000:0000:0010,123
CRYT3068423,2405:0203:c3f4:D028:0000:0000:0000:0010,123
CRYT3158308,2405:0203:c3f9:B0B4:0000:0000:0000:0010,123
CRYT3306636,2405:0203:c3f9:0EC7:0000:0000:0000:0010,123
CRYT3019123,2405:0203:c3f4:57E9:0000:0000:0000:0010,123
CRYT3037771,2405:0203:c3f4:7CDF:0000:0000:0000:0010,123
CRYT3035285,2405:0203:c3f4:8230:0000:0000:0000:0010,123
CRYT3019941,2405:0203:c3f4:6AB2:0000:0000:0000:0010,123
CRYT3154435,2405:0203:c3f4:ECF7:0000:0000:0000:0010,123
CRYT3074867,2405:0203:c3f9:8A48:0000:0000:0000:0010,123
CRYT3015217,2405:0203:c3f4:464B:0000:0000:0000:0010,123
CRYT3026158,2405:0203:c3f4:3C83:0000:0000:0000:0010,123
CRYT3041727,2405:0203:c3f4:B068:0000:0000:0000:0010,123
CRYT3157523,2405:0203:c3f4:F6C9:0000:0000:0000:0010,123
CRYT3164902,2405:0203:c3f9:B301:0000:0000:0000:0010,123
CRYT3032297,2405:0203:c3f4:A594:0000:0000:0000:0010,123
CRYT3025908,2405:0203:c3f4:3C45:0000:0000:0000:0010,123
CRYT3032257,2405:0203:c3f4:A5E4:0000:0000:0000:0010,123
CRYT3044547,2405:0203:c3f4:6830:0000:0000:0000:0010,123
CRYT3157681,2405:0203:c3f4:F7B0:0000:0000:0000:0010,123
CRYT3151107,2405:0203:c3f9:A1AD:0000:0000:0000:0010,123
CRYT3162171,2405:0203:c3f4:F303:0000:0000:0000:0010,123
CRYT3164610,2405:0203:c3f9:BABF:0000:0000:0000:0010,123
CRYT3018287,2405:0203:c3f4:5146:0000:0000:0000:0010,123
CRYT3036103,2405:0203:c3f4:5B2F:0000:0000:0000:0010,123
CRYT3018042,2405:0203:c3f4:3B24:0000:0000:0000:0010,123
CRYT3038794,2405:0203:c3f4:7D0E:0000:0000:0000:0010,123
CRYT3070133,2405:0203:c3f4:805D:0000:0000:0000:0010,123
CRYT3069707,2405:0203:c3f4:C27D:0000:0000:0000:0010,123
CRYT3018885,2405:0203:c3f4:6285:0000:0000:0000:0010,123
CRYT3315415,2405:0203:c3fa:EA26:0000:0000:0000:0010,123
CRYT3304813,2405:0203:c3fa:2E97:0000:0000:0000:0010,123
CRYT3069751,2405:0203:c3f4:C25C:0000:0000:0000:0010,123
CRYT3040065,2405:0203:c3f4:B6A9:0000:0000:0000:0010,123
CRYT3027044,2405:0203:c3f4:3BB6:0000:0000:0000:0010,123
CRYT3042380,2405:0203:c3f4:A1A9:0000:0000:0000:0010,123
CRYT3043304,2405:0203:c3f4:939F:0000:0000:0000:0010,123
CRYT3017154,2405:0203:c3f4:4D9C:0000:0000:0000:0010,123
CRYT3031691,2405:0203:c3f4:A787:0000:0000:0000:0010,123
CRYT3019360,2405:0203:c3f4:6D47:0000:0000:0000:0010,123
CRYT3034845,2405:0203:c3f4:9BA8:0000:0000:0000:0010,123
CRYT3031721,2405:0203:c3f4:A75D:0000:0000:0000:0010,123
CRYT3152191,2405:0203:c3f9:C033:0000:0000:0000:0010,123
CRYT3162190,2405:0203:c3f4:F240:0000:0000:0000:0010,123
CRYT3150564,2405:0203:c3f9:662E:0000:0000:0000:0010,123
CRYT3044865,2405:0203:c3f4:7285:0000:0000:0000:0010,123
CRYT3150316,2405:0203:c3f9:A06D:0000:0000:0000:0010,123
CRYT3031659,2405:0203:c3f4:A759:0000:0000:0000:0010,123
CRYT3035752,2405:0203:c3f4:7F8F:0000:0000:0000:0010,123
CRYT3038070,2405:0203:c3f4:9419:0000:0000:0000:0010,123
CRYT3158640,2405:0203:c3f4:EB9A:0000:0000:0000:0010,123
CRYT3162866,2405:0203:c3f4:E781:0000:0000:0000:0010,123
CRYT3162183,2405:0203:c3f9:A68B:0000:0000:0000:0010,123
CRYT3154350,2405:0203:c3f9:A6A7:0000:0000:0000:0010,123
CRYT3031986,2405:0203:c3f4:A608:0000:0000:0000:0010,123
CRYT3043248,2405:0203:c3f4:937F:0000:0000:0000:0010,123
CRYT3018252,2405:0203:c3f4:6277:0000:0000:0000:0010,123
CRYT3033007,2405:0203:c3f4:ABF1:0000:0000:0000:0010,123
CRYT3032848,2405:0203:c3f4:AE41:0000:0000:0000:0010,123
CRYT3041071,2405:0203:c3f4:B4E7:0000:0000:0000:0010,123
CRYT3033561,2405:0203:c3f4:A19C:0000:0000:0000:0010,123
CRYT3065236,2405:0203:c3f4:7FF1:0000:0000:0000:0010,123
CRYT3157417,2405:0203:c3f9:A590:0000:0000:0000:0010,123
CRYT3160296,2405:0203:c3f9:9EE8:0000:0000:0000:0010,123
CRYT3162380,2405:0203:c3f4:EEF2:0000:0000:0000:0010,123
CRYT3161159,2405:0203:c3f9:9DF8:0000:0000:0000:0010,123
CRYT3042734,2405:0203:c3f4:4cf5:0000:0000:0000:0010,123
CRYT3043962,2405:0203:c3f4:67B3:0000:0000:0000:0010,123
CRYT3016918,2405:0203:c3f4:3E2E:0000:0000:0000:0010,123
CRYT3027105,2405:0203:c3f4:4C6E:0000:0000:0000:0010,123
CRYT3041078,2405:0203:c3f4:B522:0000:0000:0000:0010,123
CRYT3035468,2405:0203:c3f4:8647:0000:0000:0000:0010,123
CRYT3156748,2405:0203:c3f9:B950:0000:0000:0000:0010,123
CRYT3151634,2405:0203:c3f9:9840:0000:0000:0000:0010,123
CRYT3065818,2405:0203:c3f4:64D2:0000:0000:0000:0010,123
CRYT3065296,2405:0203:c3f4:9489:0000:0000:0000:0010,123
CRYT3072448,2405:0203:c3f9:8784:0000:0000:0000:0010,123
CRYT3037920,2405:0203:c3f4:992E:0000:0000:0000:0010,123
CRYT3015200,2405:0203:c3f4:45FC:0000:0000:0000:0010,123
CRYT3034741,2405:0203:c3f4:9C1A:0000:0000:0000:0010,123
CRYT3156535,2405:0203:c3f9:B98E:0000:0000:0000:0010,123
CRYT3158469,2405:0203:c3f9:AB2A:0000:0000:0000:0010,123
CRYT3150463,2405:0203:c3f9:674A:0000:0000:0000:0010,123
CRYT3157201,2405:0203:c3f9:A67A:0000:0000:0000:0010,123
CRYT3152051,2405:0203:c3f9:C0FE:0000:0000:0000:0010,123
CRYT3156654,2405:0203:c3f9:B67F:0000:0000:0000:0010,123
CRYT3160362,2405:0203:c3f9:99F3:0000:0000:0000:0010,123
CRYT3159948,2405:0203:c3f9:B9E2:0000:0000:0000:0010,123
CRYT3161446,2405:0203:c3f4:F4BD:0000:0000:0000:0010,123
CRYT3158577,2405:0203:c3f9:BEE5:0000:0000:0000:0010,123
CRYT3159329,2405:0203:c3f9:B56D:0000:0000:0000:0010,123
CRYT3156271,2405:0203:c3f9:AD13:0000:0000:0000:0010,123
CRYT3150032,2405:0203:c3f9:5C56:0000:0000:0000:0010,123
CRYT3163582,2405:0203:c3f9:AB57:0000:0000:0000:0010,123
CRYT3074689,2405:0203:c3f9:8731:0000:0000:0000:0010,123
CRYT3028984,2405:0203:c3f4:5F0A:0000:0000:0000:0010,123
CRYT3039329,2405:0203:c3f4:8585:0000:0000:0000:0010,123
CRYT3038319,2405:0203:c3f4:665E:0000:0000:0000:0010,123
CRYT3016416,2405:0203:c3f4:3EB8:0000:0000:0000:0010,123
CRYT3026935,2405:0203:c3f4:4810:0000:0000:0000:0010,123
CRYT3158711,2405:0203:c3f4:EB9F:0000:0000:0000:0010,123
CRYT3160178,2405:0203:c3f9:9A16:0000:0000:0000:0010,123
CRYT3150264,2405:0203:c3f9:66EE:0000:0000:0000:0010,123
CRYT3017723,2405:0203:c3f4:5FD9:0000:0000:0000:0010,123
CRYT3033735,2405:0203:c3f4:9E91:0000:0000:0000:0010,123
CRYT3037439,2405:0203:c3f4:71E3:0000:0000:0000:0010,123
CRYT3041978,2405:0203:c3f4:AD9D:0000:0000:0000:0010,123
CRYT3037205,2405:0203:c3f4:7A56:0000:0000:0000:0010,123
CRYT3070943,2405:0203:c3f4:C71C:0000:0000:0000:0010,123
CRYT3068503,2405:0203:c3f4:D087:0000:0000:0000:0010,123
CRYT3065033,2405:0203:c3f4:9473:0000:0000:0000:0010,123
CRYT3016700,2405:0203:c3f4:3E1C:0000:0000:0000:0010,123
CRYT3016652,2405:0203:c3f4:451B:0000:0000:0000:0010,123
CRYT3025823,2405:0203:c3f4:4003:0000:0000:0000:0010,123
CRYT3035225,2405:0203:c3f4:826F:0000:0000:0000:0010,123
CRYT3033708,2405:0203:c3f4:8F46:0000:0000:0000:0010,123
CRYT3035907,2405:0203:c3f4:6310:0000:0000:0000:0010,123
CRYT3019047,2405:0203:c3f4:5801:0000:0000:0000:0010,123
CRYT3068194,2405:0203:c3f4:D14C:0000:0000:0000:0010,123
CRYT3069204,2405:0203:c3f4:C42F:0000:0000:0000:0010,123
CRYT3019721,2405:0203:c3f4:6A79:0000:0000:0000:0010,123
CRYT3043160,2405:0203:c3f4:8155:0000:0000:0000:0010,123
CRYT3156164,2405:0203:c3f9:ADD3:0000:0000:0000:0010,123
CRYT3037420,2405:0203:c3f4:73E2:0000:0000:0000:0010,123
CRYT3161635,2405:0203:c3f9:9D6A:0000:0000:0000:0010,123
CRYT3156501,2405:0203:c3f9:AAAC:0000:0000:0000:0010,123
CRYT3067536,2405:0203:c3f4:C8F0:0000:0000:0000:0010,123
CRYT3070036,2405:0203:c3f4:7FEF:0000:0000:0000:0010,123
CRYT3071077,2405:0203:c3f4:C64A:0000:0000:0000:0010,123
CRYT3031731,2405:0203:c3f4:A7EC:0000:0000:0000:0010,123
CRYT3026177,2405:0203:c3f4:3A64:0000:0000:0000:0010,123
CRYT3067291,2405:0203:c3f4:C7E7:0000:0000:0000:0010,123
CRYT3029162,2405:0203:c3f4:5CFD:0000:0000:0000:0010,123
CRYT3041553,2405:0203:c3f4:A4AA:0000:0000:0000:0010,123
CRYT3067323,2405:0203:c3f4:C797:0000:0000:0000:0010,123
CRYT3065416,2405:0203:c3f4:79FC:0000:0000:0000:0010,123
CRYT3043020,2405:0203:c3f4:9783:0000:0000:0000:0010,123
CRYT3041012,2405:0203:c3f4:B2F8:0000:0000:0000:0010,123
CRYT3037091,2405:0203:c3f4:723D:0000:0000:0000:0010,123
CRYT3157236,2405:0203:c3f4:F1FD:0000:0000:0000:0010,123
CRYT3319850,2405:0203:c3e0:5346:0000:0000:0000:0010,123
CRYT3157989,2405:0203:c3f9:B0BD:0000:0000:0000:0010,123
CRYT3160805,2405:0203:c3f9:9D6E:0000:0000:0000:0010,123
CRYT3152859,2405:0203:c3f9:9988:0000:0000:0000:0010,123
CRYT3074001,2405:0203:c3f9:6D9C:0000:0000:0000:0010,123
CRYT3164219,2405:0203:c3f9:B0CF:0000:0000:0000:0010,123
CRYT3155366,2405:0203:c3f4:EC7F:0000:0000:0000:0010,123
CRYT3154167,2405:0203:c3f9:A639:0000:0000:0000:0010,123
CRYT3150380,2405:0203:c3f9:9FAC:0000:0000:0000:0010,123
CRYT3154463,2405:0203:c3f4:ECD4:0000:0000:0000:0010,123
CRYT3155811,2405:0203:c3f4:F617:0000:0000:0000:0010,123
CRYT3164060,2405:0203:c3f9:B102:0000:0000:0000:0010,123
CRYT3311119,2405:0203:c3fa:1FB0:0000:0000:0000:0010,123
CRYT3040171,2405:0203:c3f4:BA43:0000:0000:0000:0010,123
CRYT3164520,2405:0203:c3f4:E2EF:0000:0000:0000:0010,123
CRYT3159507,2405:0203:c3f9:BA34:0000:0000:0000:0010,123
CRYT3015189,2405:0203:c3f4:4675:0000:0000:0000:0010,123
CRYT3019323,2405:0203:c3f4:6D61:0000:0000:0000:0010,123
CRYT3044859,2405:0203:c3f4:7B77:0000:0000:0000:0010,123
CRYT3016611,2405:0203:c3f4:44C7:0000:0000:0000:0010,123
CRYT3042469,2405:0203:c3f4:A08B:0000:0000:0000:0010,123
CRYT3070977,2405:0203:c3f4:C692:0000:0000:0000:0010,123
